threads	lazy	lf	chunked	unrolled	chunked64	unrolled64
1	99434	126251	118144	431554		701411		2435927
2	101734	145100	219806	380999		1318711		2690818
4	178379	220150	302304	507866		1684439		3029834
8	262596	345104	484730	793024		2745108		4205604
12	342175	421155	572919	1177787		3699614		6427953
16	418089	490132	691558	1694497		4604024		9192489
20	497079	595150	888055	1845940		5452929		10039277
24	576270	660132	925115	2343577		6261258		12742036

