threads	chunked0	unrolled0	chunked1	unrolled1	chunked2	unrolled2	chunked3	unrolled3
1	50720		196853		115757		447030		130221		587525		129966		580879
2	46248		121180		84236		251671		249273		459202		246016		466464
4	95275		166564		195475		388937		323028		620173		323558		601841
8	186133		281263		383032		594071		528332		1046507		527711		1038271
12	266258		424762		554680		919124		726446		1497574		720689		1499091
16	348713		656159		711977		1444449		905140		2206042		896289		2188665
20	433287		652795		873824		1418585		1081931		2341107		1061864		2345706
24	501044		864909		1028701		1915654		1238890		3033882		1236242		2978930
