threads	lazy	lf	chunked	unrolled	chunked64	unrolled64
1	106263	106155	130355	586212		571992		2822339
2	202853	215531	246912	464070		1044980		2885791
4	204186	225331	324005	625201		1411469		3219876
8	310660  335650	523374	1043885		2316718		4707984
12	406024	425155	712703	1528321		2958844		7374917
16	503815  565750	902586	2176381		3600227		9467365
20	603451  675100	1078666	2387624		4150711		10548814
24	692350	750426	1226415	3015582		4609954		12087455
